Phase 1_mobility,Phase 2_mobility,Phase 3_mobility,Phase 4_mobility,Phase 5_mobility,Phase 6_mobility,Phase 1_rt,Phase 2_rt,Phase 3_rt,Phase 4_rt,Phase 5_rt,Phase 6_rt,Phase 1_case_growth,Phase 2_case_growth,Phase 3_case_growth,Phase 4_case_growth,Phase 5_case_growth,Phase 6_case_growth,Phase 1_death_rate,Phase 2_death_rate,Phase 3_death_rate,Phase 4_death_rate,Phase 5_death_rate,Phase 6_death_rate
7.828003291,38.17005564,28.70792778,28.4048706,-7.828003291,-7.828003291,-0.33870152200000003,0.481433471,0.814444064,0.581236447,0.33870152200000003,0.33870152200000003,-0.455381462,-0.067530275,0.051075112,0.012317571999999999,0.455381462,0.455381462,0.001157527,-0.0014846529999999998,-0.001284467,-0.00039815,-0.001157527,-0.001157527
33.78454017,40.90048235,25.45411645,23.83332458,-33.78454017,-33.78454017,-0.303342796,1.055994093,-1.079819331,-1.367304279,0.303342796,0.303342796,0.19212070899999997,0.012358795,0.046614682000000005,0.042698779000000006,-0.19212070899999997,-0.19212070899999997,-8.57e-05,-0.00016051299999999999,-0.00017378400000000002,-9.87e-05,8.57e-05,8.57e-05
46.82816921,44.193081899999996,32.02188685,33.68803187,-46.82816921,-46.82816921,0.239723722,0.23616811399999998,-0.21330417399999999,-1.328626523,-0.239723722,-0.239723722,-0.183251435,0.18304141899999998,0.075335558,-0.155836219,0.183251435,0.183251435,-4.46e-05,-8.909999999999998e-05,9.070000000000001e-05,0.000204883,4.46e-05,4.46e-05
-4.865517752,43.17205153,31.85872169,30.57925754,4.865517752,4.865517752,-1.1347810329999999,-0.967503288,-0.56689972,-0.536493235,1.1347810329999999,1.1347810329999999,0.25352113,-0.19162011199999998,-0.00850867,-0.053986197,-0.25352113,-0.25352113,3.0399999999999997e-07,0.000135851,0.00031590599999999997,0.000453215,-3.0399999999999997e-07,-3.0399999999999997e-07
16.1185877,46.81722844,29.9368015,21.33599593,-16.1185877,-16.1185877,-1.457310646,0.32658897,0.239335961,-0.635810081,1.457310646,1.457310646,-0.134641194,-0.04486247,0.18029935100000002,-0.05306166599999999,0.134641194,0.134641194,-1.53e-05,-3.97e-06,8.39e-05,0.001136032,1.53e-05,1.53e-05
11.67496864,41.00422682,29.51723801,29.06605994,-11.67496864,-11.67496864,-0.44772739,0.619870685,0.417071495,0.359590884,0.44772739,0.44772739,-0.6194376460000001,-0.017089451999999998,-0.023681976,-0.026700018,0.6194376460000001,0.6194376460000001,0.004231554,-0.00296366,0.07857996099999999,0.219955171,-0.004231554,-0.004231554
65.03108337,39.93319917,25.15948848,14.15124294,-65.03108337,-65.03108337,-1.117150021,3.589616542,-4.37866439,-0.952890902,1.117150021,1.117150021,-0.084500041,0.100225364,-0.297267893,0.161248761,0.084500041,0.084500041,-0.000258828,-0.000167417,-0.000155494,9.37e-05,0.000258828,0.000258828
14.6832793,47.86834176,29.84170331,34.58233516,-14.6832793,-14.6832793,-1.549528578,-0.778930201,-0.20404318899999999,0.042074638,1.549528578,1.549528578,-0.012897067,-0.128641828,0.000401353,0.04410540599999999,0.012897067,0.012897067,0.006131971999999999,0.019394836000000002,-0.005431555,-0.006546925,-0.006131971999999999,-0.006131971999999999
12.69210515,42.38648968,31.46339394,29.16545874,-12.69210515,-12.69210515,0.0,0.0,0.0,0.0,0.0,0.0,-0.40278888700000004,0.001007804,0.11499851,0.134002531,0.40278888700000004,0.40278888700000004,0.0,0.0,0.0,0.0,0.0,0.0
6.659584562999999,41.77790444,30.51543374,20.4622079,-6.659584562999999,-6.659584562999999,-2.364269455,1.099468865,-0.555602948,-0.614431466,2.364269455,2.364269455,-0.7097729620000001,0.136986621,-0.102803379,-0.017471442,0.7097729620000001,0.7097729620000001,-0.00159213,0.000406015,0.00144351,8.109999999999999e-05,0.00159213,0.00159213
9.223892409,38.15661015,28.23160012,24.97515209,-9.223892409,-9.223892409,-0.13939515,0.36346423200000005,0.20933939899999998,0.195095773,0.13939515,0.13939515,-0.465095851,-0.078589167,-0.014535669,-0.002749293,0.465095851,0.465095851,0.00126245,0.002694785,0.0029983690000000003,0.007792126,-0.00126245,-0.00126245
8.609519928,39.41783091,28.90596514,25.94359093,-8.609519928,-8.609519928,0.115970258,0.467703364,0.428654575,0.06265155,-0.115970258,-0.115970258,-0.33925991200000005,-0.17684759100000003,0.232669951,-0.094382804,0.33925991200000005,0.33925991200000005,-0.00063301,0.00017515,0.003546111,0.0075057019999999995,0.00063301,0.00063301
