,state,Phase 1 abs,Phase 1 abs low,Phase 1 abs upp,Phase 1 rel,Phase 1 rel low,Phase 1 rel upp,Phase 1 p,Phase 2 abs,Phase 2 abs low,Phase 2 abs upp,Phase 2 rel,Phase 2 rel low,Phase 2 rel upp,Phase 2 p,Phase 3 abs,Phase 3 abs low,Phase 3 abs upp,Phase 3 rel,Phase 3 rel low,Phase 3 rel upp,Phase 3 p,Phase 4 abs,Phase 4 abs low,Phase 4 abs upp,Phase 4 rel,Phase 4 rel low,Phase 4 rel upp,Phase 4 p,Phase 5 abs,Phase 5 abs low,Phase 5 abs upp,Phase 5 rel,Phase 5 rel low,Phase 5 rel upp,Phase 5 p,Phase 6 abs,Phase 6 abs low,Phase 6 abs upp,Phase 6 rel,Phase 6 rel low,Phase 6 rel upp,Phase 6 p
15,Kerala,1.415302713,0.966526425,1.833966903,-2.858160244,-1.951870351,-3.703639683,0.001006036,0.657987231,0.365761961,0.932739286,1.210342695,0.672805332,1.715738738,0.001022495,0.247531967,-0.100990987,0.575661038,0.20081343,-0.081930212,0.467012278,0.077699294,-0.391428868,-0.705032379,-0.087820635,-0.27281854,-0.491394275,-0.061209327,0.00605449,-0.031406424,-0.29862482,0.197684585,-0.02483346,-0.236126451,0.156311721,0.421796165,-0.167225922,-0.352559945,0.021459284,-0.128364408,-0.270628787,0.016472376,0.04396728
16,Madhya Pradesh,-2.286361863,-3.104993167,-1.445671693,-0.652456289,-0.886068103,-0.412549563,0.001103753,-0.273158234,-0.770612635,0.185461719,-0.197624266,-0.557522117,0.134177673,0.1160444,-0.115243861,-0.455035923,0.235417652,-0.099653378,-0.393477502,0.203569752,0.242214533,-0.115297882,-0.433345333,0.179187517,-0.109510629,-0.411594032,0.170193393,0.214532872,0.229764708,-0.016632408,0.464402492,0.252798516,-0.018299799,0.510958632,0.034602076,0.020180566,-0.177475935,0.205154396,0.019264196,-0.169417015,0.195838638,0.431372549
17,Maharashtra,-0.154392997,-0.209733911,-0.10152592,-0.102664778,-0.139464134,-0.06751042,0.001006036,0.197814946,0.1241176,0.274458314,0.196161873,0.123080391,0.272164758,0.001010101,0.124610273,0.055637423,0.192189783,0.127978774,0.05714143,0.197385113,0.001010101,0.143703387,0.076244567,0.208922075,0.159087832,0.084407078,0.231288635,0.001027749,0.322990552,0.255830221,0.39006373,0.408681838,0.323703478,0.493549923,0.001072961,0.069382616,-0.027761527,0.177588704,0.070916829,-0.0283754,0.18151561,0.082474227
18,Manipur,-0.205954033,-0.490440706,0.064713576,-0.223786071,-0.532904342,0.070316646,0.081735621,0.87199428,0.607009756,1.110894555,0.726289454,0.505582198,0.925270978,0.001009082,-1.36015605,-1.664387886,-1.049785931,-0.644390065,-0.788523506,-0.497348539,0.001183432,-0.177152865,-0.512842674,0.148036293,-0.098851115,-0.286165681,0.082604098,0.159434914,-1.205678202,-1.509133411,-0.910443063,-0.538112781,-0.673549521,-0.406344784,0.00116144,-1.205678202,-0.205954033,-0.490440706,0.064713576,-0.223786071,-0.532904342,0.070316646
19,Meghalaya,-0.205954033,-0.5052743,0.087619858,-0.223786071,-0.549022268,0.095206215,0.073662967,0.87199428,0.613419695,1.131190963,0.726289454,0.510921075,0.942175982,0.001009082,-1.36015605,-1.67529613,-1.058471808,-0.644390065,-0.793691416,-0.501463576,0.001183432,-0.177152865,-0.535734834,0.165710659,-0.098851115,-0.298939482,0.092466376,0.150353179,-1.205678202,-1.494752845,-0.902209082,-0.538112781,-0.667131253,-0.402669831,0.00116144,-1.205678202,-0.205954033,-0.5052743,0.087619858,-0.223786071,-0.549022268,0.095206215
20,Nagaland,0.241841361,0.032694931,0.465681778,0.273632249,0.036992793,0.526897267,0.014127144,-0.293862382,-0.495305045,-0.106948043,-0.20326226,-0.34259854,-0.073975107,0.001117318,-0.106948043,0.241841361,0.032694931,0.465681778,0.273632249,0.036992793,0.526897267,0.014127144,-0.293862382,-0.495305045,-0.106948043,-0.20326226,-0.34259854,-0.073975107,0.001117318,Nagaland,0.241841361,0.032694931,0.465681778,0.273632249,0.036992793,0.526897267,0.014127144,-0.293862382,-0.495305045,-0.106948043,-0.20326226,-0.34259854
21,Odisha,-0.758120527,-1.412413352,-0.11146011,-0.403398364,-0.751549674,-0.059308282,0.012448133,0.582424888,0.264736241,0.907121041,0.606215876,0.275550231,0.944175271,0.002306805,-0.330948215,-0.577123593,-0.071585413,-0.231982457,-0.40454229,-0.050178727,0.005767013,-0.099180162,-0.333281747,0.12263371,-0.082703711,-0.277914823,0.102261003,0.214532872,0.125204874,-0.066987165,0.314293969,0.118371427,-0.063331131,0.297140395,0.109573241,0.069973772,-0.08770869,0.225528025,0.065280419,-0.081825803,0.210401177,0.19047619
22,Punjab,0.358745288,0.19201352,0.51591873,0.514097242,0.275163534,0.739333463,0.001010101,0.32970787,0.220445759,0.429175706,0.436364178,0.291757162,0.568008596,0.001122334,0.162849928,0.072025453,0.250126221,0.181856386,0.080431651,0.279318825,0.002244669,0.185538727,0.100639415,0.264390627,0.202353665,0.109760128,0.288351727,0.001122334,0.016121896,-0.063057113,0.095204167,0.01725443,-0.067486762,0.101892088,0.333333333,0.17055895,0.111960035,0.234147217,0.20191329,0.132541969,0.277191171,0.001424501
23,Rajasthan,-0.516332563,-0.555179044,-0.479652054,-0.305816161,-0.328824359,-0.284090836,0.001036269,0.558770671,0.410287546,0.702609688,0.947836208,0.695966005,1.191828665,0.001010101,0.245928514,0.106561895,0.395013151,0.303239203,0.131394866,0.487066225,0.00204499,0.238946445,0.107348079,0.376460131,0.305254556,0.137137384,0.480928563,0.00104712,0.407602593,0.280043556,0.524028475,0.5857402,0.402433084,0.753048556,0.00105042,0.020430833,-0.17067264,0.243151362,0.019306576,-0.161280954,0.229771354,0.437915743
24,Tamil Nadu,-1.074726306,-1.639876021,-0.541175065,-0.534497016,-0.815564702,-0.269144298,0.001009082,1.411135158,0.990096767,1.846490882,14.29796636,10.03190246,18.70909697,0.001009082,0.323474015,-0.096102935,0.713082349,0.394310596,-0.117148221,0.869238062,0.051463169,0.41484621,0.043854778,0.74535582,0.52815285,0.055832802,0.948934307,0.014127144,0.363827463,0.040978928,0.670357841,0.497207745,0.056001931,0.916113116,0.01715439,0.31821876,0.056124449,0.557310862,0.433974183,0.076540308,0.760038553,0.011099899
25,Telangana,-0.532786171,-0.634899711,-0.435858147,-0.38958436,-0.464251909,-0.318708567,0.00102145,1.169389558,0.992211563,1.357873158,13.92404227,11.81436558,16.16833596,0.001010101,0.354779603,0.110567804,0.597607402,0.401491789,0.125125754,0.676291598,0.002018163,0.178095663,-0.041323733,0.377761035,0.177062689,-0.041084051,0.37556998,0.053481332,0.265500912,0.082255112,0.452445196,0.262977025,0.081473184,0.448144191,0.004036327,-0.111662804,-0.278102171,0.031754049,-0.099100859,-0.246815976,0.028181753,0.075664622
26,Tripura,0.103205804,-0.247730658,0.439170984,0.054117367,-0.129900939,0.230285277,0.291521487,-0.720126492,-1.363195168,-0.063688648,-0.308946519,-0.584833923,-0.027323514,0.015136226,-1.173508693,-1.746434572,-0.587989974,-0.498475388,-0.741839115,-0.249762556,0.001009082,-0.970853631,-1.522740285,-0.422797577,-0.463724388,-0.727330861,-0.201947586,0.001009082,-0.592916451,-1.022160075,-0.154899771,-0.357460754,-0.616245527,-0.093386832,0.00461361,0.377761035,0.103205804,-0.247730658,0.439170984,0.054117367,-0.129900939,0.230285277
27,Uttar Pradesh,-0.091442391,-0.173984483,-0.009928503,-0.068871836,-0.131040217,-0.007477869,0.009054326,0.271083428,0.186503355,0.357659803,0.333364293,0.229352121,0.439831414,0.001010101,0.330420565,0.23756899,0.420765956,0.39976883,0.28742968,0.5090758,0.001046025,0.236942397,0.136288526,0.328937686,0.267080402,0.153623812,0.370777077,0.00106383,0.179254429,0.051504564,0.307564022,0.185858398,0.05340206,0.318895086,0.002290951,0.02875001,-0.091835403,0.161858219,0.025752648,-0.082261006,0.14498352,0.338282078
28,Uttarakhand,-0.612000226,-1.284473597,0.018823966,-0.414058553,-0.86903118,0.012735655,0.033195021,0.762847503,0.454217419,1.067475482,1.361743615,0.810814308,1.905528846,0.001153403,0.649215308,0.327607422,0.948121203,0.498224821,0.251414511,0.727613029,0.001153403,-0.825325463,-1.157875931,-0.555322714,-0.462457501,-0.648796667,-0.311165917,0.001153403,-0.382716161,-0.673738231,-0.098307913,-0.272510615,-0.479731033,-0.069999526,0.00461361,0.0878988,-0.156197057,0.326899839,0.079301186,-0.140919011,0.294924904,0.23183391
29,West Bengal,-0.92282232,-1.60641287,-0.264803171,-0.40602257,-0.706788152,-0.116507871,0.002074689,-0.310517433,-0.610523687,-0.00840942,-0.210106281,-0.413100353,-0.005690089,0.025374856,0.085291789,-0.162862834,0.324374817,0.0744451,-0.142151315,0.283123569,0.229527105,-0.023492519,-0.241626405,0.164787503,-0.020248641,-0.208262316,0.14203343,0.418685121,0.077913872,-0.099817941,0.25502849,0.072503671,-0.09288676,0.237319765,0.202998847,0.014051522,-0.119146014,0.137770992,0.012991691,-0.110159468,0.127379663,0.409988386
30,Haryana,0.358745288,0.19201352,0.51591873,0.514097242,0.275163534,0.739333463,0.001010101,0.32970787,0.220445759,0.429175706,0.436364178,0.291757162,0.568008596,0.001122334,0.162849928,0.072025453,0.250126221,0.181856386,0.080431651,0.279318825,0.002244669,0.185538727,0.100639415,0.264390627,0.202353665,0.109760128,0.288351727,0.001122334,0.016121896,-0.063057113,0.095204167,0.01725443,-0.067486762,0.101892088,0.333333333,0.17055895,0.111960035,0.234147217,0.20191329,0.132541969,0.277191171,0.001424501
