,state,Phase 1 abs,Phase 1 abs low,Phase 1 abs upp,Phase 1 rel,Phase 1 rel low,Phase 1 rel upp,Phase 1 p,Phase 2 abs,Phase 2 abs low,Phase 2 abs upp,Phase 2 rel,Phase 2 rel low,Phase 2 rel upp,Phase 2 p,Phase 3 abs,Phase 3 abs low,Phase 3 abs upp,Phase 3 rel,Phase 3 rel low,Phase 3 rel upp,Phase 3 p,Phase 4 abs,Phase 4 abs low,Phase 4 abs upp,Phase 4 rel,Phase 4 rel low,Phase 4 rel upp,Phase 4 p,Phase 5 abs,Phase 5 abs low,Phase 5 abs upp,Phase 5 rel,Phase 5 rel low,Phase 5 rel upp,Phase 5 p,Phase 6 abs,Phase 6 abs low,Phase 6 abs upp,Phase 6 rel,Phase 6 rel low,Phase 6 rel upp,Phase 6 p
19,Meghalaya,0.07787254,-0.279029543,0.414926006,-1,3.583157094,-5.328271141,0.334006054,0.07547759,-0.180074758,0.350122282,-2.906664835,6.934733431,-13.48331505,0.260343088,-0.073687506,-0.370014155,0.198362299,-3.047835808,-15.30439075,8.204589201,0.311806256,0.16962716,-0.14802156,0.46509995,-6.830537908,5.960524692,-18.7286213,0.134207871,-0.186609651,-0.486281385,0.119504792,-1.211929121,-3.158135536,0.776119224,0.113017154,-0.186609651,0.07787254,-0.279029543,0.414926006,-1,3.583157094,-5.328271141
20,Nagaland,-0.141490647,-0.241203874,-0.042953549,-2.549721471,-4.346596117,-0.774041174,0.005045409,0.087640339,-0.246766072,0.400385791,-2.938948568,8.275102561,-13.4266168,0.288597376,-0.018933858,-0.410613119,0.361100678,-0.735287447,-15.9459671,14.02317478,0.457114026,-0.966621668,-0.141490647,-0.241203874,-0.042953549,-2.549721471,-4.346596117,-0.774041174,0.005045409,0.087640339,-0.246766072,0.400385791,-2.938948568,8.275102561,-13.4266168,0.288597376,-0.018933858,-0.410613119,0.361100678,-0.735287447,-15.9459671,14.02317478
21,Odisha,-0.094566416,-1.022158146,0.762676111,-0.613184509,-6.627844937,4.945319883,0.414732593,0.019289495,-0.742906493,0.828316906,0.141349634,-5.443872944,6.069743677,0.49445005,-0.282806607,-0.966621668,0.389969955,-1.209488849,-4.1339845,1.667798067,0.205852674,-0.041257787,-0.80857602,0.697219804,-0.451934154,-8.857070374,7.637284204,0.469223007,-0.03149537,-0.670952122,0.588635521,-0.398294182,-8.484940149,7.443954653,0.443995964,-0.034933754,-0.520326828,0.46927892,-0.558947716,-8.325343159,7.50856545,0.452068618
22,Punjab,-0.402788887,-1.421981834,0.496696062,-1.020147601,-3.601468176,1.257987281,0.19778002,0.001007804,-0.709099569,0.666836736,0.282160343,-198.5304472,186.6978929,0.493440969,0.11499851,-0.475073577,0.701846452,-1.464744566,6.051047437,-8.939470399,0.346115035,0.134002531,-0.498903271,0.724490898,-4.142025145,15.42112586,-22.39405104,0.338042381,0.007831974,-0.541984742,0.520076051,0.297937966,-20.61776991,19.78433621,0.472250252,0.025669207,-0.378314652,0.424791868,1.186631894,-17.48866746,19.63720854,0.455095863
23,Rajasthan,-0.340068803,-1.330626507,0.595193744,-0.924906266,-3.618987636,1.618785429,0.236125126,0.11706587,-0.383121705,0.611536047,-2.768011499,9.058876724,-14.45971239,0.336024218,-0.012598093,-0.436700463,0.386209258,-0.472744718,-16.38722962,14.49254199,0.462159435,-0.0041537,-0.351564958,0.354512325,-11.21265653,-949.027886,956.9841211,0.478304743,0.060738127,-0.23957152,0.348949492,-1.929751935,7.611588037,-11.08670922,0.327566321,0.036228685,-0.193907316,0.277127324,-3.015054628,16.13752061,-23.06332736,0.376009227
24,Tamil Nadu,-0.463529118,-1.128525094,0.17485456,-1.0117235,-2.463179363,0.381646935,0.07568113,0.139358512,-0.281537553,0.561139835,-3.541222895,7.154117902,-14.25905888,0.259334006,0.015478372,-0.31046776,0.357199392,0.545119041,-10.93408863,12.57988853,0.45786802,0.044067549,-0.244770129,0.344646438,3.070324081,-17.05390121,24.01259634,0.365145228,0.01312931,-0.247409888,0.244041176,1.110342058,-20.92338527,20.6384943,0.439446367,0.023426893,-0.17399588,0.195648765,-2.135243787,15.85885135,-17.8324032,0.400230681
25,Telangana,-0.344813461,-1.078752198,0.357974461,-1.30791999,-4.091840153,1.357841288,0.163471241,0.340303607,-0.285349668,0.936029188,-1.383345313,1.15995575,-3.804989318,0.133198789,0.069470208,-0.454597931,0.587681777,-13.30495478,87.06472991,-112.5529873,0.381432896,0.011877008,-0.442503219,0.449149717,0.405413187,-15.10453165,15.33140513,0.473259334,0.032532059,-0.389034418,0.416759174,1.302406559,-15.57482064,16.68476898,0.409687185,-0.017410637,-0.312937455,0.266152028,-0.53130128,-9.549568342,8.121868896,0.462159435
26,Tripura,0.066581513,-0.069289327,0.196629663,-2.212004357,2.301964729,-6.532529161,0.154389506,0.039918939,-0.297278703,0.345567672,-3.643187861,27.13103596,-31.53811169,0.429868819,0.152736127,-0.426557804,0.690865784,100.9659846,-281.9753891,456.6957775,0.31382442,-0.075077139,-0.562027021,0.398342307,-0.915592159,-6.854117559,4.857924791,0.403632694,0.006891007,-0.553946341,0.528494334,0.207364389,-16.66937023,15.90346765,0.479313824,0.006891007,0.066581513,-0.069289327,0.196629663,-2.212004357,2.301964729,-6.532529161
27,Uttar Pradesh,-0.776027417,-1.58700133,-0.05100546,-0.939880148,-1.922085497,-0.061774904,0.017103763,-0.242863883,-0.684177942,0.247018587,-1.039784494,-2.929203003,1.057572222,0.141868512,-0.048575684,-0.393859833,0.30351127,-0.758755677,-6.152118942,4.740867886,0.357554787,0.04026842,-0.268560147,0.362567385,1.358499007,-9.060169017,12.23160556,0.417531719,-0.017174527,-0.319180723,0.293035584,-0.32553199,-6.049862881,5.554298803,0.469434833,-0.001323948,-0.240544997,0.216433505,-0.030919723,-5.617731051,5.054626935,0.492450639
28,Uttarakhand,-0.578513713,-1.1644817,-0.013792352,-1.190721695,-2.396786094,-0.02838801,0.02320888,0.170491759,-0.350335968,0.710299086,-2.504453454,5.146290535,-10.43399993,0.255297679,0.00736335,-0.468707758,0.495576881,0.072763514,-4.631699473,4.8972161,0.500504541,-0.052677541,-0.56073513,0.411312046,-0.40631819,-4.325123707,3.172577186,0.409687185,-0.156287416,-0.618413416,0.296429492,-1.186395273,-4.694445469,2.25022946,0.266397578,0.049041187,-0.355665298,0.436617444,2.190335292,-15.88514266,19.50072278,0.392532795
29,West Bengal,0.529969698,-0.831014038,1.879188983,-1.574407779,2.468735424,-5.582601732,0.2209889,-0.149380701,-1.113662075,0.77664972,-0.871927028,-6.50038496,4.533262171,0.393541877,0.054948948,-0.632633329,0.816786123,1.28875271,-14.83755281,19.1566057,0.430877901,-0.061018235,-0.727102171,0.567032254,-0.776768197,-9.25608291,7.218376953,0.411705348,-0.002583816,-0.534289914,0.490809951,-0.06499518,-13.43991569,12.34618919,0.495459132,-0.005300956,-0.396358064,0.380948071,-0.174148025,-13.02123184,12.51497974,0.49445005
